feature,importance
skill__leadership,15.344554958012587
skill__rag,9.982885241008514
skill__airflow,8.274919551830674
skill__mlops,5.735506464034308
skill__llm,5.352196458382322
skill__kubernetes,4.867095582252409
skill__python,4.819031685018577
region_москва,4.690927912510373
skill__streaming,4.072038092075264
skill__fine_tuning,4.022304033437082
skill__sql,3.687163187535614
skill__spark,3.630207343832396
skill__docker,3.2053287103827115
skill__pytorch,2.7452047110284585
skill__opencv,2.54751789534773
skill__communication,1.9473692089851236
skill__agile,1.713284614141717
skill__tensorflow,1.4782737697759416
skill__c++,1.4219755005234076
skill__api_backend,1.4198827387642232
skill__prompt_engineering,1.2159525405625276
skill__pandas,1.098147229836847
skill__nlp,0.9570125561359436
region_тбилиси,0.8588121875522204
skill__english,0.7918678056867731
skill__scikit_learn,0.681230174649564
skill__numpy,0.6301543936519293
skill__deep_learning,0.4166953316531275
region_астана,0.40598465745521484
skill__computer_vision,0.3893644599232337
skill__machine_learning,0.38523468881487877
region_бишкек,0.2994851519322099
skill__experiment_tracking,0.21566540441600088
skill__etl_elt,0.17222816655825737
region_санкт-петербург,0.16527334167831007
region_алматы,0.07702940807893276
region_екатеринбург,0.06803905208952356
region_краснодар,0.03193674866792068
region_челябинск,0.027168822995155568
region_воронеж,0.020289096901506962
region_рязань,0.019984509784262243
region_хабаровск,0.015605187455412593
region_ставрополь,0.011985006236499297
region_омск,0.010919255667343532
region_пенза,0.009568411438633564
region_уфа,0.007834413188488511
region_томск,0.007542232849027146
region_череповец,0.006537788718898421
region_минск,0.0053209403002737075
region_кемерово,0.005083962498473928
region_армения,0.004550760929669474
region_израиль,0.004432606459229397
region_красногорск (московская область),0.0034000818195215996
region_кипр,0.0033474959168522315
region_волгоград,0.0028220768679123346
region_самара,0.002709329289391015
region_подольск (московская область),0.0022187782358242666
region_красноярск,0.0020323018820149635
region_саратов,0.001871756413570308
region_ростов-на-дону,0.001685873429203963
region_одинцово (московская область),0.001211430174586007
region_псков,0.0011309765914507683
region_донецк,0.001072888334025154
region_якутск,0.0009065284529799206
region_коломна (московская область),0.00034560983849571544
region_курган,0.0003079155117051251
region_белгород,0.0001797040068875633
region_киров (кировская область),0.0001532995898362463
region_ташкент,0.0
region_чайковский,0.0
region_чебоксары,0.0
region_ульяновск,0.0
region_батуми,0.0
region_тюмень,0.0
region_академгородок (новосибирская область),0.0
region_тула,0.0
region_тольятти,0.0
region_тверь,0.0
region_ижевск,0.0
region_люберцы (московская область),0.0
region_таганрог,0.0
region_йошкар-ола,0.0
region_советский (ханты-мансийский ао),0.0
region_симферополь,0.0
region_махачкала,0.0
region_казань,0.0
region_калининград,0.0
region_пермь,0.0
region_ногинск (московская область),0.0
region_новосибирск,0.0
region_нижний новгород,0.0
region_набережные челны,0.0
region_мытищи (московская область),0.0
region_сербия,0.0
